App Year,Application Id,Status,MCAT 2015 Highest Total,Sci Gpa,Total Gpa,CASPER Score,Gender,Race,Ethnicity
2022,301,Rejected Without Interview,510,3.77,3.8,-0.51,Female,White/Caucasian,White/Caucasian
2022,302,Rejected Without Interview,508,3.73,3.8,-1.21,Male,White/Caucasian,White/Caucasian
2022,306,Rejected Without Interview,510,3.73,3.73,0.44,Male,White/Caucasian,White/Caucasian
2022,307,Rejected Without Interview,516,4,4,1.84,Female,White/Caucasian,White/Caucasian
2022,308,Rejected Without Interview,502,3.87,3.71,-1.35,Male,White/Caucasian,White/Caucasian
2022,309,Rejected Without Interview,514,4,4,,Male,White/Caucasian,White/Caucasian
2022,310,Rejected Without Interview,513,3.7,3.76,-1.17,Female,White/Caucasian,White/Caucasian
2022,312,Rejected Without Interview,516,3.84,3.89,0.41,Male,White/Caucasian,White/Caucasian
2022,316,Rejected Without Interview,501,3.09,3.28,0.15,Female,White/Caucasian,White/Caucasian
2022,319,Rejected Without Interview,502,3.75,3.84,-0.88,Male,White/Caucasian,White/Caucasian
2022,629,Offered Admission - Declined,525,4,4,0.59,[REDACTED],Asian; White,Multiple
