Entry Year,,,Status,,,Gender,,,,,,,,Ethnicity,,MCAT Highest Total,,,,,,,GPA‐Total,,Sci GPA
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,510,,,,,3.65,,3.52,
2022,,MA,,,Female,,,,,,,Asian,,,,,508,,,,,3.98,,3.95,
2022,,MA,,,Female,,,,,,,Asian,,,,,514,,,,,3.97,,3.93,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,502,,,,,3.59,,3.27,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,511,,,,,4,,4,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,517,,,,,3.78,,3.75,
2022,,MA,,,Female,,,,,,,African American,,,,,507,,,,,3.78,,3.62,
2022,,MA,,,Female,,,,,,,African American,,,,,501,,,,,4,,4,
2022,,MA,,,Male,,,,,,,Asian,,,,,514,,,,,3.83,,3.75,
2022,,MA,,,Male,,,,,,,Asian,,,,,513,,,,,3.76,,3.6,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,512,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,510,,,,,3.94,,3.91,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,510,,,,,3.84,,3.79,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,510,,,,,3.82,,3.78,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,513,,,,,3.92,,3.93,
2022,,MA,,,Male,,,,,,,Multiple,,,,,515,,,,,3.93,,3.85,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,513,,,,,4,,4,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,512,,,,,3.78,,3.66,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,515,,,,,3.75,,3.75,
2022,,MA,,,Male,,,,,,,Multiple,,,,,507,,,,,3.4,,3.14,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,508,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Unreported,,,,,519,,,,,4,,4,
2022,,MA,,,Female,,,,,,,Asian,,,,,514,,,,,3.5,,3.34,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,510,,,,,3.89,,3.8,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,514,,,,,3.7,,3.78,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,518,,,,,3.8,,3.57,
2022,,MA,,,Male,,,,,,,Asian,,,,,512,,,,,3.92,,3.84,
2022,,MA,,,Male,,,,,,,Asian,,,,,520,,,,,3.72,,3.66,
2022,,MA,,,Male,,,,,,,Asian,,,,,522,,,,,3.68,,3.59,
2022,,MA,,,Male,,,,,,,Asian,,,,,515,,,,,3.93,,4,
2022,,MA,,,Female,,,,,,,African American,,,,,501,,,,,3.89,,3.75,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,518,,,,,3.94,,3.94,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,511,,,,,4,,4,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,513,,,,,3.83,,3.69,
2022,,MA,,,Female,,,,,,,Multiple,,,,,515,,,,,3.75,,3.6,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,514,,,,,3.68,,3.56,
2022,,MA,,,Female,,,,,,,Asian,,,,,513,,,,,3.86,,3.68,
2022,,MA,,,Male,,,,,,,Asian,,,,,518,,,,,3.95,,3.96,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,509,,,,,3.98,,3.96,
2022,,MA,,,Female,,,,,,,African American,,,,,504,,,,,3.46,,3.13,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,510,,,,,3.86,,3.72,
2022,,MA,,,Female,,,,,,,Asian,,,,,511,,,,,3.97,,3.91,
2022,,MA,,,Female,,,,,,,Asian,,,,,519,,,,,3.98,,3.92,
2022,,MA,,,Female,,,,,,,Asian,,,,,515,,,,,4,,4,
2022,,MA,,,Female,,,,,,,White/Caucasian,,,,,515,,,,,3.92,,3.95,
2022,,MA,,,Male,,,,,,,Asian,,,,,522,,,,,3.94,,3.91,
2022,,MA,,,Male,,,,,,,Hispanic,,,,,508,,,,,3.7,,3.81,
2022,,MA,,,Male,,,,,,,White/Caucasian,,,,,512,,,,,3.91,,3.93,
2022,,MA,,,Female,,,,,,,Hispanic,,,,,507,,,,,3.97,,3.96,
2022,,MA,,,Female,,,,,,,Multiple,,,,,513,,,,,3.72,,3.53,
2022,,MA,,,Male,,,,,,,Asian,,,,,506,,,,,3.89,,3.72,
2022,,MA,,,Male,,,,,,,Asian,,,,,511,,,,,3.91,,4,
2022,,MA,,,Female,,Asian,,,,,,,,,,,,,516,,4,,4,
2022,,MA,,,Female,,Asian,,,,,,,,,,,,,508,,3.84,,3.79,
2022,,MA,,,Male,,Hispanic,,,,,,,,,,,,,505,,3.81,,3.71,
2022,,MA,,,Male,,White/Caucasian,,,,,,,,,,,,,518,,3.94,,3.85,
2022,,MA,,,Female,,Asian,,,,,,,,,,,,,517,,4,,4,
2022,,MA,,,Male,,African American,,,,,,,,,,,,,512,,4,,4,
2022,,MA,,,Female,,Asian,,,,,,,,,,,,,512,,3.78,,3.66,
2022,,MA,,,Male,,"Puerto Rican; Hispanic, Latino, or of Spanish origin",,,,,,,,,,,,,508,,4,,4,
2022,,MA,,,Male,,Asian,,,,,,,,,,,,,519,,3.92,,3.95,
2022,,MA,,,Male,,Asian,,,,,,,,,,,,,509,,3.96,,4,
2022,,MA,,,Male,,White/Caucasian,,,,,,,,,,,,,512,,3.9,,3.85,
2022,,MA,,,Male,,White/Caucasian,,,,,,,,,,,,,501,,3.17,,3.58,
2022,,MA,,,Male,,White/Caucasian,,,,,,,,,,,,,509,,3.83,,3.86,
2022,,MA,,,Male,,African American,,,,,,,,,,,,,505,,3.42,,3.41,
2022,,MA,,,Female,,White/Caucasian,,,,,,,,,,,,,510,,3.83,,3.77,
2022,,MA,,,Male,,Hispanic,,,,,,,,,,,,,511,,3.83,,3.72,
2022,,MA,,,Male,,Multiple,,,,,,,,,,,,,506,,3.61,,3.48,
2022,,MA,,,Female,,Asian,,,,,,,,,,,,,519,,4,,4,
2022,,MA,,,Male,,Asian,,,,,,,,,,,,,516,,3.85,,4,
2022,,MA,,,Male,,Asian,,,,,,,,,,,,,511,,3.85,,3.7,
2022,,MA,,,Female,,Asian,,,,,,,,,,,,,510,,3.81,,3.62,
2022,,MA,,,Female,,Asian,,,,,,,,,,,,,511,,3.91,,4,
2022,,MA,,,Female,,Asian,,,,,,,,,,,,,523,,4,,4,
2022,,MA,,,Male,,African American,,,,,,,,,,,,,504,,3.81,,3.72,
2022,,MA,,,Male,,Hispanic,,,,,,,,,,,,,508,,3.92,,3.89,
2022,,MA,,,Female,,Asian,,,,,,,,,,,,,512,,3.94,,4,
2022,,MA,,,Male,,Hispanic,,,,,,,,,,,,,510,,3.74,,3.68,
2022,,OD,,,Male,,Multiple,,,,,,,,,,,,,524,,3.95,,4,
2022,,OD,,,Female,,White/Caucasian,,,,,,,,,,,,,510,,3.68,,3.46,
2022,,OD,,,Female,,African American,,,,,,,,,,,,,513,,3.88,,3.83,
2022,,OD,,,Female,,,,,,,,,,,,,,,515,,3.97,,3.97,
2022,,OD,,,Female,,African American,,,,,,,,,,,,,519,,3.9,,3.83,
2022,,OD,,,Female,,"Hispanic, Latino, or of Spanish origin; Mexican/Chican",,,,,,,,,,,,,512,,3.46,,3.25,
2022,,OD,,,Male,,White/Caucasian,,,,,,,,,,,,,515,,3.97,,4,
2022,OD,,,,Male,,,,,,,,,,,,,,,518,,3.95,,3.96,
2022,OD,,,,Male,,,,,,,,,,,,,,,523,,4,,3.99,
2022,OD,,,,Male,,Asian,,,,,,,,,,,,,522,,3.98,,3.96,
2022,OD,,,,Male,,White/Caucasian,,,,,,,,,,,,,520,,4,,4,
2022,OD,,,,Male,,"Hispanic, Latino, or of Spanish origin; Peruvian",,,,,,,,,,,,,522,,3.82,,3.77,
2022,OD,,,,Female,,,,,,,,,,,,,,,515,,3.91,,3.86,
2022,OD,,,,Female,,Asian,,,,,,,,,,,,,516,,3.95,,3.89,
2022,OD,,,,Male,,White/Caucasian,,,,,,,,,,,,,510,,3.98,,3.97,
2022,OD,,,,Female,,"Hispanic, Latino, or of Spanish origin; Mexican/Chican",,,,,,,,,,,,,517,,3.83,,3.85,
2022,OD,,,,Male,,,,,,,,,,,,,,,516,,3.83,,3.84,
2022,OD,,,,Male,,White/Caucasian,,,,,,,,,,,,,525,,3.92,,3.87,
2022,OD,,,,Female,,,,,,,,,,,,,,,505,,3.85,,3.8,
